### SHEET: SSOC2024-ISCO08 (1133 rows)
356	Cybersecurity professional n.e.c. | 25249 | 2529 |  | Database and network professionals not elsewhere classified
357	Data centre engineer | 25291 | 2529 |  | Database and network professionals not elsewhere classified
358	Other database/network/infrastructure/cybersecurity professional n.e.c. | 25299 | 2529 |  | Database and network professionals not elsewhere classified
359	Advocate/Solicitor (practising) | 26111 | 2611 |  | Lawyers
360	In-house legal counsel (excluding judiciary, ministries and statutory boards) | 26112 | 2611 |  | Lawyers
361	Lawyer n.e.c. | 26119 | 2611 |  | Lawyers
362	Judge | 26120 | 2612 |  | Judges
363	Arbitrator/Mediator | 26191 | 2619 |  | Legal professionals not elsewhere classified
364	Other legal professional n.e.c. | 26199 | 2619 |  | Legal professionals not elsewhere classified
365	Archivist | 26211 | 2621 |  | Archivists and curators
366	Curator | 26212 | 2621 |  | Archivists and curators
367	Conservator | 26213 | 2621 |  | Archivists and curators
368	Librarian | 26221 | 2622 |  | Librarians and related information professionals
369	Librarian and related information professional n.e.c. | 26229 | 2622 |  | Librarians and related information professionals
370	Economist | 26310 | 2631 |  | Economists
371	Sociologist/Anthropologist | 26321 | 2632 |  | Sociologists, anthropologists and related professionals
372	Social science researcher | 26322 | 2632 |  | Sociologists, anthropologists and related professionals
373	Political scientist | 26331 | 2633 |  | Philosophers, historians and political scientists
374	Historian/Political scientist and related social science professional n.e.c. | 26339 | 2633 |  | Philosophers, historians and political scientists
375	Minister of religion | 26361 | 2636 |  | Religious professionals
376	Religious professional n.e.c. | 26369 | 2636 |  | Religious professionals
377	Author | 26411 | 2641 |  | Authors and related writers
378	Script writer/editor | 26412 | 2641 |  | Authors and related writers
379	Content writer | 26413 | 2641 |  | Authors and related writers
380	Technical writer | 26414 | 2641 |  | Authors and related writers
